ITEMTYPE,ITEMID,COLOR,CODENAME
P,78c04,Pearl Light Gray,4275389
P,78c04,Pearl Light Gray,4495200
P,78c04,Purple,4120482
P,78c04,Red,4162530
P,78c04,Tan,4141265
P,78c04,Trans-Light Blue,4289492
P,78c04,White,4228055
P,78c04,White,4275402
P,78c05,Black,4166238
P,78c05,Blue,4165924
P,78c05,Orange,6326215
P,78c05,Pearl Light Gray,4141674
P,78c05,Pearl Light Gray,4275382
P,78c05,Pearl Light Gray,4495201
P,78c05,Yellow,4119541
P,78c06,Black,4111942
P,78c06,Black,4189286
P,78c06,Black,6345089
P,78c06,Black,6439886
P,78c06,Blue,4275400
P,78c06,Flat Silver,4620076
P,78c06,Light Gray,4141503
P,78c06,Pearl Gold,4297019
P,78c06,Pearl Light Gray,4143468
P,78c06,Pearl Light Gray,4275388
P,78c06,Pearl Light Gray,4495202
P,78c06,Trans-Light Blue,4221887
P,78c06,Trans-Light Blue,4275398
P,78c07,Black,4112863
P,78c07,Blue,4183087
P,78c07,Dark Turquoise,4114394
P,78c07,Flat Silver,6083456
P,78c07,Pearl Gold,4143802
P,78c07,Pearl Light Gray,4141522
P,78c07,Pearl Light Gray,4275332
P,78c07,Pearl Light Gray,4495203
P,78c07,Purple,4118606
P,78c07,White,4140560
P,78c07,White,4275331
P,78c08,Black,4297965
P,78c08,Blue,4125375
P,78c08,Blue,4189403
P,78c08,Blue,4226955
P,78c08,Dark Turquoise,4111953
P,78c08,Pearl Light Gray,4141809
P,78c08,Pearl Light Gray,4275383
P,78c08,Pearl Light Gray,4495204
P,78c08,Purple,4114395
P,78c08,White,4125374
P,78c09,Black,4114744
P,78c09,Black,4275296
P,78c09,Black,6420612
P,78c09,Black,6443871
P,78c09,Dark Turquoise,4114737
P,78c09,Dark Turquoise,4275293
P,78c09,Flat Silver,4620083
P,78c09,Flat Silver,6081344
P,78c09,Flat Silver,6600684
P,78c09,Pearl Light Gray,4141671
P,78c09,Pearl Light Gray,4275379
P,78c09,Pearl Light Gray,4495206
P,78c09,Purple,4120483
P,78c09,Red,4154851
P,78c09,Red,4275392
P,78c09,Trans-Light Blue,4252591
P,78c09,Yellow,4118684
P,78c10,Black,4111947
P,78c10,Black,4287632
P,78c10,Black,4523639
P,78c10,Blue,4183090
P,78c10,Lime,4508469
P,78c10,Pearl Light Gray,4177611
P,78c10,Pearl Light Gray,4275395
P,78c10,Pearl Light Gray,4495210
P,78c10,Yellow,4119347
P,78c10,Yellow,4275317
P,78c11,Black,4112864
P,78c11,Blue,4183088
P,78c11,Flat Silver,4617492
P,78c11,Pearl Gold,4288240
P,78c11,Pearl Gold,4289508
P,78c11,Pearl Light Gray,4141672
P,78c11,Pearl Light Gray,4275380
P,78c11,Pearl Light Gray,4495208
P,78c11,Red,4267878
P,78c11,White,4119021
P,78c11,White,4162403
P,78c11,White,4275315
P,78c12,Black,4164468
P,78c12,Black,4523640
P,78c12,Black,6253280
P,78c12,Black,6506605
P,78c12,Blue,4492731
P,78c12,Dark Turquoise,4111946
P,78c12,Flat Silver,6600686
P,78c12,Metallic Green,4157265
P,78c12,Orange,6438770
P,78c12,Pearl Light Gray,4157610
P,78c12,Purple,4114738
P,78c12,Purple,4275294
P,78c13,Black,4111943
P,78c13,Black,4189289
P,78c13,Brown,4200280
P,78c13,Pearl Dark Gray,4174428
P,78c13,Pearl Light Gray,4143347
P,78c13,Pearl Light Gray,4275386
P,78c13,Pearl Light Gray,4495186
P,78c14,Black,4114745
P,78c14,Black,4275297
P,78c14,Black,6143035
P,78c14,Blue,6313111
P,78c14,Dark Blue,4164180
P,78c14,Dark Turquoise,4114396
P,78c14,Green,4119028
P,78c14,Pearl Light Gray,4157611
P,78c14,Red,4125203
P,78c14,Red,4268654
P,78c14,Trans-Light Blue,4556086
P,78c14,White,6554448
P,78c14,Yellow,4119099
P,78c14,Yellow,4502075
P,78c15,Black,4111944
P,78c15,Black,4189297
P,78c15,Black,4297950
P,78c15,Pearl Light Gray,4195398
P,78c15,Pearl Light Gray,4275396
P,78c15,Pearl Light Gray,4501125
P,78c16,Light Gray,4125202
P,78c16,Pearl Gold,4297020
P,78c16,Pearl Light Gray,4157612
P,78c16,Purple,4111945
P,78c17,Green,4141263
P,78c17,Red,4512925
P,78c18,Black,4113010
P,78c18,Blue,4183086
P,78c18,Brown,4200282
P,78c18,Flat Silver,4620068
P,78c18,Flat Silver,6491958
P,78c18,Pearl Dark Gray,4199281
P,78c18,Pearl Light Gray,4141673
P,78c18,Pearl Light Gray,4275381
P,78c18,Pearl Light Gray,4495191
P,78c18,Trans-Light Blue,6489265
P,78c19,Flat Silver,6170251
P,78c19,Pearl Light Gray,4173547
P,78c19,Trans-Light Blue,4631648
P,78c24,Dark Orange,4200284
P,78c24,Pearl Dark Gray,4199282
P,78c24,Pearl Light Gray,4144460
P,78c24,Pearl Light Gray,4275390
P,78c24,Pearl Light Gray,4495197
P,78c26,Trans-Light Blue,6190258
P,78c31,Trans-Light Blue,4140410
P,78c31,Trans-Light Blue,4275329
P,90,Light Bluish Gray,4211446
P,90,Light Gray,371202
P,91,Light Bluish Gray,4211423
P,91,Light Gray,332602
P,104,Chrome Silver,4161132
P,104,Chrome Silver,71185
P,122c01assy2,Black,9312
P,140.1stk01,(Not Applicable),190265
P,140.1stk02,(Not Applicable),190267
P,194,Black,4101662
P,194,Black,4129819
P,194,Green,4105184
P,194,Green,421028
P,194,Green,421078
P,194,Light Bluish Gray,4252635
P,194,Light Gray,4105183
P,194,Light Gray,4188560
P,194,Light Gray,421002
P,194,Light Gray,421052
P,194,Yellow,4248254
P,194,Yellow,4262019
P,194,Yellow,6056590
P,194cx1a,Black,4129818
P,194cx1a,Light Gray,4105188
P,194cx1b,Green,4105185
P,194cx2,Yellow,4262022
P,194cx2,Yellow,6062211
P,251,Black,450826
P,251,Green,4108182
P,251,Red,450821
P,251c01,Black,73412
P,251c01,Red,73589
P,313,Red,311221
P,313,Red,311271
P,313,Red,4106904
P,314,Black,314826
P,314,Black,4161110
P,314,Blue,314823
P,314,Light Gray,314802
P,314,Red,314821
P,314,Red,4188475
P,314,Yellow,314824
P,353,Green,4219842
P,353,Green,426828
P,353,Green,4490235
P,353,Green,6194397
P,353,Red,4219838
P,353,Red,426821
P,353,Red,6194396
P,379.1stk01,(Not Applicable),190295
P,388c01,Blue,6256049
P,388c01,Dark Bluish Gray,6014651
P,388c01,Dark Pink,6256034
P,388c01,Green,6256046
P,388c01,Lime,6256037
P,388c01,Medium Azure,6256031
P,388c01,Orange,6256027
P,388c01,Red,6255955
P,388c01,Yellow,6256043
P,3957b,Black,395726
P,3957b,Blue,4166140
P,3957b,Dark Orange,6400293
P,3957b,Dark Orange,6514016
P,3957b,Dark Purple,6057451
P,3957b,Light Bluish Gray,4211473
P,3957b,Metallic Silver,6051882
P,3957b,Pearl Gold,6434694
P,3957b,Red,6263684
P,3957b,Reddish Brown,4538252
P,3957b,Tan,6454935
P,3957b,Trans-Brown,6280166
P,3957b,Trans-Clear,6166111
P,3957b,Trans-Clear,6514014
P,3957b,Trans-Light Blue,6334272
P,3957b,Trans-Light Blue,6514015
P,3957b,Trans-Neon Green,6168725
P,3957b,White,395701
P,3957b,White,6550147
P,3957b,Yellow,6397876
P,412,Dark Gray,4114443
P,412,Trans-Green,4109975
P,412,Trans-Neon Green,4109994
P,412,Trans-Neon Orange,3001547
P,424,Black,622126
P,424,Blue,4143092
P,424,Brown,4141457
P,424,Dark Bluish Gray,4214918
P,424,Dark Purple,4297451
P,424,Dark Red,4167804
P,424,Dark Turquoise,4114285
P,424,Light Bluish Gray,4211642
P,424,Light Gray,4141508
P,424,Orange,4171202
P,424,Orange,4278172
P,424,Purple,4114297
P,424,Red,622121
P,424,Sand Green,4178943
P,424,Tan,4129561
P,424,Tan,4235724
P,424,White,622101
P,424,Yellow,622124
P,425p01,Light Gray,81043
P,471,Blue,4113160
P,471,Green,4113257
P,471,Red,4113159
P,471,White,4107629
P,471,White,4114267
P,471,White,4159284
P,471,White,4161080
P,471p01,White,4114268
P,471p01,White,4161081
P,476,Black,4648298
P,476,Black,607626
P,476,Black,6369845
P,476,Dark Bluish Gray,4617196
P,476,Dark Gray,4107464
P,476,Red,4612160
P,476,Red,607621
P,476,Reddish Brown,6287572
P,476,White,4258452
P,476,White,607601
P,476,White,6345202
P,518,Dark Gray,4161409
P,518,Dark Gray,603327
P,522,Black,4124171
P,522,Black,6106296
P,522,Blue,6077876
P,522,Bright Green,6219306
P,522,Brown,4124423
P,522,Brown,4166069
P,522,Dark Blue,4506798
P,522,Dark Blue,4508146
P,522,Dark Blue,4625528
P,522,Dark Bluish Gray,6005548
P,522,Dark Brown,6002261
P,522,Dark Green,4597294
P,522,Dark Purple,6004915
P,522,Dark Purple,6119246
P,522,Dark Red,4590759
P,522,Dark Red,6119414
P,522,Green,4157072
P,522,Green,4636676
P,522,Green,4636677
P,522,Light Bluish Gray,4226857
